192.168.1.1 - - [16/Sep/2025:09:15:52 +0000] "GET /index.html HTTP/1.1" 200 1024 "http://example.com/start.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.2 - - [16/Sep/2025:09:16:10 +0000] "POST /submit-form HTTP/1.1" 404 512 "http://example.com/form.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.3 - - [16/Sep/2025:09:17:25 +0000] "GET /about.html HTTP/1.1" 500 2048 "http://example.com/home.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.5 - - [16/Sep/2025:09:18:30 +0000] "GET /api/users HTTP/1.1" 200 2048 "https://example.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
198.51.100.23 - - [16/Sep/2025:09:19:15 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.4 - - [16/Sep/2025:09:20:45 +0000] "GET /images/logo.png HTTP/1.1" 404 178 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.6 - - [16/Sep/2025:16:22:20 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.5 - - [16/Sep/2025:16:23:10 +0000] "GET /api/data HTTP/1.1" 500 1024 "https://example.com/api" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
127.0.0.1 - - [16/Sep/2025:16:24:00 +0000] "GET /health HTTP/1.1" 200 128 "http://example.com/health" "curl/7.68.0"
192.168.1.6 - - [16/Sep/2025:16:25:30 +0000] "GET /api/metrics HTTP/1.1" 200 4096 "https://example.com/metrics" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
203.0.113.7 - - [16/Sep/2025:16:26:15 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.7 - - [16/Sep/2025:16:27:45 +0000] "GET /admin/panel HTTP/1.1" 403 256 "https://example.com/admin" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
198.51.100.24 - - [16/Sep/2025:16:28:20 +0000] "GET /api/users HTTP/1.1" 200 2048 "https://example.com/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
192.168.1.8 - - [16/Sep/2025:16:29:10 +0000] "POST /api/login HTTP/1.1" 401 182 "https://example.com/login" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
